week_start_date,weekly_vaccinations
2021-02-15,1.0
2021-02-22,140.0
2021-03-01,4273.0
2021-03-08,9364.0
2021-03-15,7793.0
2021-03-22,11574.0
2021-03-29,18448.0
2021-04-05,28160.0
2021-04-12,31510.0
2021-04-19,48888.0
2021-04-26,53157.0
2021-05-03,56639.0
2021-05-10,78234.0
2021-05-17,84637.0
2021-05-24,84002.0
2021-05-31,96947.0
2021-06-07,110854.0
2021-06-14,102592.0
2021-06-21,126547.0
2021-06-28,130998.0
2021-07-05,125330.0
2021-07-12,125966.0
2021-07-19,135331.0
2021-07-26,174258.0
2021-08-02,233315.0
2021-08-09,267154.0
2021-08-16,289131.0
2021-08-23,280024.0
2021-08-30,487572.0
2021-09-06,561136.0
2021-09-13,464652.0
2021-09-20,396934.0
2021-09-27,343809.0
2021-10-04,304297.0
2021-10-11,427132.0
2021-10-18,500771.0
2021-10-25,353859.0
2021-11-01,246688.0
2021-11-08,210725.0
2021-11-15,164273.0
2021-11-22,148239.0
2021-11-29,137097.0
2021-12-06,225171.0
2021-12-13,163762.0
2021-12-20,127463.0
2021-12-27,116154.0
2022-01-03,75057.0
2022-01-10,160691.0
2022-01-17,288546.0
2022-01-24,320912.0
2022-01-31,402154.0
2022-02-07,324632.0
2022-02-14,355103.0
2022-02-21,312332.0
2022-02-28,214705.0
2022-03-07,156159.0
2022-03-14,83792.0
2022-03-21,71477.0
2022-03-28,63193.0
2022-04-04,42146.0
2022-04-11,27193.0
2022-04-18,18532.0
2022-04-25,13738.0
2022-05-02,16306.0
2022-05-09,12586.0
2022-05-16,10107.0
2022-05-23,8951.0
2022-05-30,8468.0
2022-06-06,8642.0
2022-06-13,8031.0
2022-06-20,9374.0
2022-06-27,9085.0
2022-07-04,31530.0
2022-07-11,62442.0
2022-07-18,93502.0
2022-07-25,86969.0
2022-08-01,73166.0
2022-08-08,64444.0
2022-08-15,53372.0
2022-08-22,46683.0
2022-08-29,39422.0
2022-09-05,30926.0
2022-09-12,23873.0
2022-09-19,21707.0
2022-09-26,16575.0
2022-10-03,12203.0
2022-10-10,14037.0
2022-10-17,15499.0
2022-10-24,17747.0
2022-10-31,13771.0
2022-11-07,15867.0
2022-11-14,14055.0
2022-11-21,14169.0
2022-11-28,14895.0
2022-12-05,14639.0
2022-12-12,14310.0
2022-12-19,15994.0
2022-12-26,12865.0
2023-01-02,3838.0
2023-01-09,3982.0
2023-01-16,6588.0
2023-01-23,5194.0
2023-01-30,3967.0
2023-02-06,3255.0
2023-02-13,2553.0
2023-02-20,2169.0
2023-02-27,1904.0
2023-03-06,2197.0
2023-03-13,3099.0
2023-03-20,3026.0
2023-03-27,2755.0
2023-04-03,10981.0
2023-04-10,77048.0
2023-04-17,69817.0
2023-04-24,89887.0
2023-05-01,66467.0
2023-05-08,43330.0
2023-05-15,15701.0
2023-05-22,15701.0
2023-05-29,15701.0
2023-06-05,15701.0
2023-06-12,15701.0
2023-06-19,15701.0
2023-06-26,15701.0
2023-07-03,15701.0
2023-07-10,15701.0
2023-07-17,15701.0
2023-07-24,15701.0
2023-07-31,15701.0
2023-08-07,15701.0
2023-08-14,15701.0
2023-08-21,15701.0
2023-08-28,15701.0
2023-09-04,15701.0
2023-09-11,15701.0
2023-09-18,15701.0
2023-09-25,15701.0
2023-10-02,15701.0
2023-10-09,15701.0
2023-10-16,15701.0
2023-10-23,15701.0
2023-10-30,15701.0
2023-11-06,15701.0
2023-11-13,15701.0
2023-11-20,15701.0
2023-11-27,15701.0
2023-12-04,15701.0
2023-12-11,15701.0
2023-12-18,15701.0
2023-12-25,15701.0
2024-01-01,15701.0
2024-01-08,15701.0
2024-01-15,15701.0
2024-01-22,15701.0
2024-01-29,14769.0
2024-02-05,8938.0
2024-02-12,7570.0
2024-02-19,7641.0
2024-02-26,4890.0
2024-03-04,3432.0
2024-03-11,7420.0
2024-03-18,13054.0
2024-03-25,10739.0
2024-04-01,10019.0
2024-04-08,22031.0
2024-04-15,29823.0
2024-04-22,27055.0
2024-04-29,20767.0
2024-05-06,22285.0
2024-05-13,22046.0
2024-05-20,22088.0
2024-05-27,25035.0
2024-06-03,25522.0
2024-06-10,25478.0
2024-06-17,24039.0
2024-06-24,23224.0
2024-07-01,17876.0
2024-07-08,15867.0
2024-07-15,13577.0
2024-07-22,10747.0
2024-07-29,8168.0
